index_id,date,open,high,low,close,source,fetched_at
nikkei225,2026-05-20,59804.41,60567.27,60567.27,59292.25,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-21,61684.14,60374.84,62043.53,60282.35,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-22,63339.07,61913.36,63432.41,61842.56,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-25,65158.19,63658.95,65408.87,63562.51,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-26,64996.09,65247.24,65317.69,64605.69,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-27,64999.41,65777.87,66428.81,64999.41,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-28,64693.12,64770.76,65165.75,63875.04,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-05-29,66329.50,65133.97,66505.02,65133.97,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-01,66934.33,66363.43,67231.28,66244.84,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-02,66734.24,66629.60,66748.06,65551.13,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-03,68402.13,67238.53,68786.49,67238.53,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-04,67470.69,67860.84,68051.94,66920.80,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-05,66588.12,67115.00,67115.00,65862.21,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-08,64024.60,65947.56,66115.18,63406.66,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-09,65416.63,64625.26,65485.16,63918.96,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-10,64179.27,64952.38,65098.86,63733.04,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-11,64217.27,63329.17,64395.50,62335.75,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-12,66020.04,65176.23,67065.94,64998.11,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-15,69317.50,66783.22,69682.23,66783.22,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-16,69404.50,69288.91,70020.68,69095.67,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-17,69902.25,69005.88,70125.75,68985.63,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
nikkei225,2026-06-18,71053.49,70163.71,71398.58,70092.94,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-09-08T14:14:57+00:00
